heb_name_parsed,code,area_id,label,time_notes
אורים,38,16,Urim,30 Seconds
שבי דרום,1193,16,Shavei Darom,30 Seconds
גאולים,280,27,Geulim,One and a half minutes
כמון,402,6,Kamon,30 Seconds
מורשת,730,23,Moreshet,One minute
חריש,473,13,Harish,One and a half minutes
הר ברכה,400,10,Har Bracha,One and a half minutes
קדיתא,1098,6,Kadita,30 Seconds
באר יעקב,160,12,Be'er Yacov,One and a half minutes
אזור תעשייה בראון,47,10,Bar On Industrial Zone,One and a half minutes
חוות שיקמים,437,16,Havat Shikmim,15 Seconds
קלחים,1110,16,Klachim,30 Seconds
עוזייר,964,23,Uzeir,One minute
גרופית,353,29,Grofit,One and a half minutes
משואות יצחק,822,22,Masuot Itzhak,45 Seconds
נחושה,879,24,Nehusha,One minute
יערה,528,30,Ya'ara,Immediately
טירה,483,27,Tira,One and a half minutes
נמרוד,915,2,Nimrod,Immediately
מצפה נטופה,802,23,Mitzpeh Netofa,One minute
סגולה,938,22,Sgula,45 Seconds
כפר קרע,647,13,Kfar Kara,One and a half minutes
אביבים,7,30,Avivim,Immediately
מעגלים,768,16,Maagalim,30 Seconds
גונן,316,30,Gonen,15 Seconds
כפר עבודה,641,27,Kfar Avoda,One and a half minutes
בצת,252,30,Betzet,Immediately
טייבה,481,27,Tayibe,One and a half minutes
פדויים,1050,16,Pduim,45 Seconds
עין אל אסד,982,6,Ein al-Asad,30 Seconds
כפר גמילה מלכישוע,594,4,Mlkishua Rehabilitation Village,One minute
שדה יצחק,1207,15,Sdeh Itzhak,One and a half minutes
ממשית,1370,9,Mamashit,One and a half minutes
עין חוד,997,14,Ein Chod,One minute
שדמות מחולה,1220,3,Shadmot Mechola,One and a half minutes
עברון,957,30,Evron,15 Seconds
אבן ספיר,14,20,Even Sapir,One and a half minutes
בני נצרים,242,26,Bnei Netzarim,30 Seconds
בית העמק,188,6,Beit HaEmek,30 Seconds
עדנים,962,27,Adanim,One and a half minutes
המכללה האקדמית כנרת,393,7,Kinneret Academic College,30 Seconds
מתת,838,30,Matat,Immediately
אבו-תלול,2,9,Abu Talul,One and a half minutes
נטועה,889,30,Netua,Immediately
עין איילה,980,14,Ein Ayala,One minute
מסד,760,23,Massad,One minute
עכו - אזור תעשייה,1017,6,Acco - Industrial Zone,30 Seconds
אזור תעשייה צ.ח.ר,65,6,Tzahar Industrial Zone,30 Seconds
ואדי אל חמאם,408,7,Wadi Hamam,One minute
סלעית,945,27,Salit,One and a half minutes
גבעת אסף,1368,10,Givat Asaf,One and a half minutes
בניה,247,22,Bnaya,One minute
מדרשת בן גוריון,715,9,Ben Gurion College,One and a half minutes
אמנון,129,6,Amnon,30 Seconds
עוזה,963,22,Uzza,30 Seconds
דן (קיבוץ),377,30,Dan,Immediately
ביר הדאג',173,9,Bir Hadaj,One and a half minutes
אבטליון,5,23,Avtalion,One minute
כפר עזה,642,26,Kfar Azza,15 Seconds
הראל,405,24,Harel,One and a half minutes
עופרים,968,10,Ofarim,One and a half minutes
בת חפר,269,27,Bat Hefer,One and a half minutes
אל סייד,1374,25,El-Sid,One and a half minutes
אלונים,111,34,Alonim,One minute
נווה מבטח,866,22,Neveh Mivtach,One minute
צרעה,1094,24,Tzora,One and a half minutes
קלע,1113,2,Kela,15 Seconds
עפולה,1032,34,Afula,One minute
אשכולות,149,25,Eshkolot,One minute
זוהר,413,22,Zohar,30 Seconds
שפר,1261,6,Shefer,30 Seconds
כפר ורדים,607,30,Kfar Vradim,15 Seconds
יד השמונה,503,24,Yad HaShmona,One and a half minutes
בית קשת,225,34,Beit Keshet,One minute
רמות,1167,5,Ramot,15 Seconds
פעמי תש''ז,1064,16,Pa'amei Tashaz,30 Seconds
יקנעם עילית,539,13,Yokneam Illit,One and a half minutes
אבו גוש,1,24,Abu Ghosh,One and a half minutes
ניל''י,894,10,Nili,One and a half minutes
כרמי יוסף,662,12,Karmei Yossef,One and a half minutes
גיתית,328,3,Gitit,One and a half minutes
אזור תעשייה אפק ולב הארץ,44,21,Afek and Lev Ha\aretz Industrial Zone,One and a half minutes
שקף,1264,17,Shekef,One minute
שורש,1229,24,Shoresh,One and a half minutes
איילת השחר,89,6,Ayelet HaShachar,30 Seconds
כאוכב אבו אלהיג'א,553,23,Kaukab Abu al-Hija,One minute
טירת צבי,486,4,Tirat Zvi,One minute
מוקייבלה,728,34,Muqeibla,One minute
נחשולים,886,14,Nachsholim,One minute
נתיבות,934,16,Netivot,30 Seconds
כפר שמאי,650,6,Kfar Shamai,30 Seconds
עיינות,977,12,Ayanot,One and a half minutes
אפק,136,6,Afek,One minute
אשרת,153,6,Oshrat,30 Seconds
פדואל,1049,10,Paduel,One and a half minutes
נתיב הגדוד,930,3,Netiv HaGdud,One and a half minutes
שילה,1238,10,Shilo,One and a half minutes
נווה ים,863,14,Neveh Yam,One minute
חדיד,432,21,Hadid,One and a half minutes
קדר,1101,17,Kadarim,One and a half minutes
הרדוף,406,34,Harduf,One minute
ניר גלים,902,22,Nir Galim,45 Seconds
צור משה,1083,27,Tzur Moshe,One and a half minutes
אורה,35,20,Ora,One and a half minutes
צאלים,1073,16,Ze'elim,30 Seconds
חלץ,454,19,Heletz,30 Seconds
תלמים,1295,22,Tlamim,30 Seconds
טייבה בגלבוע,482,4,Taibe (Gilboa),One minute
,,,,
גני יוחנן,346,12,Ganei Yochanan,One and a half minutes
אופקים,30,16,Ofakim,45 Seconds
רמת גן,6027,8,Ramat Gan - West,One and a half minutes
מגשימים,713,8,Magshimim,One and a half minutes
ניצני עוז,898,27,Nitzanei Oz,One and a half minutes
אורנית,40,27,Oranit,One and a half minutes
בוקעתא,167,2,Buq'ata,Immediately
עין אל-סהלה,981,13,Ein as-Sahla,One and a half minutes
מגדלים,707,10,Megadlim,One and a half minutes
צופית,1078,27,Tzofit,One and a half minutes
פורת,1056,27,Porat,One and a half minutes
אזור תעשייה מיתרים,59,17,Meitarim Industrial Zone,One and a half minutes
יד חנה,504,27,Yad Hana,One and a half minutes
רמת רחל,1334,20,Ramat Rachel,One and a half minutes
חורה,446,25,Hura,One and a half minutes
דחי,368,34,Ed-Dahi,One minute
כפר הנוער ימין אורד,600,14,Yemin Orde Youth Village,One minute
שדה דוד,1203,22,Sdeh David,30 Seconds
תפרח,1301,16,Tifrach,45 Seconds
ניצן ב',1344,19,Nitzan,45 Seconds
ירושלים,6018,20,Jerusalem - Atarot Industrial Zone,One and a half minutes
טללים,490,9,Tlalim,One and a half minutes
אזור תעשייה ניר עציון,60,14,Nir Etzion Industrial Area,One minute
נאות מרדכי,842,30,Neot Mordechai,Immediately
בלפוריה,233,34,Balfuria,One minute
מודיעין - ליגד סנטר,718,21,Modi'in - Ligad Center,One and a half minutes
אשל הנשיא,150,16,Eshel HaNassi,45 Seconds
פנימיית עין כרם,1352,20,Ein Kerem Boarding School,One and a half minutes
נעורה,844,34,Na'ura,One minute
מרכז מיר''ב,815,14,Merav Center,One minute
ניר צבי,912,12,Nir Zvi,One and a half minutes
ראס אל-עין,1136,23,Ras al-ein,One minute
יונתן,513,5,Yonatan,Immediately
כורזים ורד הגליל,561,6,Korazim Vered HaGalil,30 Seconds
אשדוד - אזור תעשייה צפוני ונמל,1386,22,Ashdod - Northern Industrial Zone and port,45 Seconds
יפיע,530,34,Yafia,One minute
אביגדור,8,22,Avigdor,45 Seconds
בר גיורא,255,24,Bar Giora,One and a half minutes
כוכב יאיר - צור יגאל,558,27,Kokhav Ya'ir - Tzur Yigal,One and a half minutes
נחף,885,6,Nachaf,30 Seconds
לבון,670,6,Lavon,30 Seconds
שייח' דנון,1237,6,Sheikh Danun,30 Seconds
בית סוהר שיטה וגלבוע,215,34,Shita and Gilboa Prison,One minute
בית חנניה,199,15,Beit Hanania,One and a half minutes
כרם בן זמרה,659,30,Kerem Ben Zimra,Immediately
תעשיון צריפין,1300,12,Zrifin Industrial Zone,One and a half minutes
באר מילכה,161,9,Be'er Milka,One minute
עין ראפה,1009,24,Ein Rafa,One and a half minutes
מודיעין-מכבים-רעות,716,21,Modi'in,One and a half minutes
רמת הנדיב,1175,15,Ramat HaNadiv,One and a half minutes
חוות שדה בר,436,17,Havat Sdeh Bar,One and a half minutes
כינרת מושבה,564,7,Moshavat Kinneret,One minute
תל תאומים,1287,4,Tel Teomim,One minute
צוריאל,1085,30,Tzuriel,Immediately
גשר הזיו,356,30,Gesher HaZiv,Immediately
המעפיל,394,27,HaMa'apil,One and a half minutes
כפר נוער בן שמן,635,12,Ben Shemen Youth Village,One and a half minutes
כרכום,656,6,Karkom,30 Seconds
בית ג'אן,181,6,Beit Jann,30 Seconds
זנוח,420,24,Zanoah,One and a half minutes
צפריה,1090,12,Tzafria,One and a half minutes
אזור תעשייה כנות,55,22,Kannot Industrial Zone,One minute
רמת יוחנן,1178,11,Ramat Yochana,One minute
פסגות,1062,10,Psagot,One and a half minutes
מנחמיה,756,4,Menahemia,One minute
בארותיים,163,27,Be'erotaim,One and a half minutes
גבעת אלה,291,34,Givat Ela,One minute
חי-בר יטבתה,450,29,Yotvata Hai Bar Nature Reserve,One and a half minutes
לוד,677,12,Lod,One and a half minutes
שדה אילן,1199,7,Sdeh Ilan,One minute
שני ליבנה,1249,17,Sheni LeYavne,One and a half minutes
אשדות יעקב איחוד,146,5,Ashdod Yacov Ichud,One minute
גבים,283,26,Gavim,15 Seconds
שדות מיכה,1215,24,Sdot Micha,One minute
פארן,1046,29,Paran,One and a half minutes
נעלה,920,10,Na'aleh,One and a half minutes
ניר עציון,910,14,Nir Etzion,One minute
תל מונד,1282,27,Tel Mond,One and a half minutes
כפר אלדד,583,17,Kfar Eldad,One and a half minutes
עופר,967,14,Ofer,One minute
נירים,913,26,Nirim,15 Seconds
ראש העין,1139,21,Rosh HaAyin,One and a half minutes
כפר ברא,588,27,Kafr Bara,One and a half minutes
ניר ישראל,906,19,Nir Israel,30 Seconds
רכסים,1165,11,Rechasim,One minute
מחולה,735,3,Mehola,One and a half minutes
נצר סרני,925,12,Netzer Sireni,One and a half minutes
תימורים,1277,22,Timorim,45 Seconds
עכו,1016,6,Acre,30 Seconds
כרמי קטיף,664,17,Karmei Katif,One minute
משגב דב,818,22,Misgav Dov,One minute
כחל,563,6,Kahal,One minute
שדה משה,1208,22,Sdeh Moshe,45 Seconds
מצפה רמון,803,9,Mitzpeh Ramon,One and a half minutes
שורשים,1230,23,Shorashim,One minute
נגבה,847,22,Negba,30 Seconds
ראש הנקרה,1138,30,Rosh HaNikra,Immediately
כפר אוריה,581,24,Kfar Uriah,One and a half minutes
בית ברל,180,27,Beit Berl,One and a half minutes
עלומים,1018,26,Alumim,15 Seconds
חיננית,452,10,Hinanit,One and a half minutes
מודיעין עילית,719,21,Modi'in Illit,One and a half minutes
צורית גילון,1086,6,Tzurit Gilon,30 Seconds
בני ברק,237,8,Bnei Brak,One and a half minutes
מסילות,762,4,Messilot,One minute
מזור,731,21,Mazor,One and a half minutes
צוקים,1080,29,Tzukim,One and a half minutes
גורן,317,30,Goren,Immediately
גדיש,1331,34,Gadish,One minute
בית דגן,184,12,Beit Dagan,One and a half minutes
גדות,313,6,Gadot,30 Seconds
באר אורה,157,29,Be'er Ora,One and a half minutes
תל עדשים,1283,34,Tel Adashim,One minute
כפר חיטים,611,7,Kfar Hittim,One minute
אחוזם,80,22,Ahuzam,30 Seconds
ספיר,952,29,Sapir,One and a half minutes
זכרון יעקב,416,15,Zichron Yacov,One and a half minutes
בית אלעזרי,177,22,Beit Elazari,One minute
גבעת ניל''י,304,13,Givat Nili,One and a half minutes
אמציה,131,17,Amatzia,One minute
ארגמן,139,3,Argaman,One and a half minutes
סכנין,943,23,Sakhnin,One minute
עינת,1014,21,Einat,One and a half minutes
זרועה,421,16,Zru'a,30 Seconds
כפר סילבר,639,19,Kfar Silver,30 Seconds
עדי,960,34,Adi,One minute
ניר דוד,903,4,Nir David,One minute
עומר,966,25,Omer,One minute
אליפז ומכרות תמנע,115,29,Elipaz and Timna Mines,One and a half minutes
מרכז אזורי מגילות,1356,18,Megilot Regional Cetner,One and a half minutes
פארק תעשייה ראם,1048,22,Re'em Industrial Park,One minute
אזור תעשייה קיסריה,70,15,Caesarea Industrial Zone,One and a half minutes
מעלה אפרים,779,3,Ma'aleh Ephraim,One and a half minutes
כפר מרדכי,633,22,Kfar Mordechai,One minute
שפרעם,1262,23,Shfaram,One minute
עראבה,1036,23,Arraba,One minute
שלומי,1243,30,Shlomi,Immediately
לוטם וחמדון,680,23,Lotem and Hamdon,One minute
כפר יהושע,619,34,Kfar Yehoshua,One minute
ניר עוז,908,26,Nir Oz,15 Seconds
שער העמקים,1256,34,Sha'ar HaAmakim,One minute
קוממיות,1105,22,Kommemiut,45 Seconds
אזור תעשייה נ.ע.מ,1385,16,NAM Industrial Zone,30 Seconds
חיבת ציון,451,27,Hibat Zion,One and a half minutes
אודם,24,2,Odem,Immediately
משמר דוד,825,12,Mishmar David,One and a half minutes
הררית יחד,407,23,Hararit Yachad,One minute
רמת הכובש,1174,27,Ramat HaKovesh,One and a half minutes
זמר,418,27,Zemer,One and a half minutes
גילת,324,16,Gilat,45 Seconds
מעלה מכמש,785,10,Ma'aleh Michmash,One and a half minutes
שואבה,1223,24,Shoeva,One and a half minutes
גיזו,323,24,Gizo,One and a half minutes
רמות מאיר,1169,12,Ramot Meir,One and a half minutes
שזור,1232,6,Shezor,30 Seconds
מרכז חבר,547,34,Hever Settlements,One minute
אליאב,113,17,Eliav,One minute
דימונה,369,9,Dimona,One and a half minutes
כפר דניאל,595,21,Kfar Daniel,One and a half minutes
קריית יערים,1123,24,Kiryat Yearim,One and a half minutes
אורטל,37,2,Ortal,Immediately
נווה דניאל,859,17,Neveh Daniel,One and a half minutes
ביתן אהרן,231,27,Bitan Aharon,One and a half minutes
כפר זוהרים,608,24,Kfar Zoharim,One minute
חפץ חיים,464,22,Hafetz Haim,One minute
כפר ביאליק,584,11,Kfar Biyalik,One minute
דבוריה,359,34,Daburiyya,One minute
מרכז אומן,1341,34,Merkaz Omen,One minute
עין המפרץ,990,6,Ein HaMifratz,30 Seconds
מיתר,747,25,Meitar,One and a half minutes
נווה זיו,861,30,Neveh Ziv,Immediately
אחיה,82,10,Achita,One and a half minutes
כפר יונה,620,27,Kfar Yona,One and a half minutes
אפיקים,135,7,Afikim,One minute
ניר משה,907,16,Nir Moshe,30 Seconds
ערערה,1042,13,Ar'ara,One and a half minutes
אשבול,143,16,Eshbol,30 Seconds
כוכב מיכאל,560,19,Kokhav Michael,30 Seconds
מעש,792,8,Maas,One and a half minutes
פני קדם,1060,17,Pnei Kedem,One and a half minutes
אל עריאן,100,13,Al Arian,One and a half minutes
בנימינה,248,15,Binyamina,One and a half minutes
דגניה ב,363,7,Degania Bet,One minute
גת רימון,358,8,Gat Rimon,One and a half minutes
שיטים,1236,29,Shitim,One and a half minutes
תלמי יוסף,1292,26,Talmei Yossef,15 Seconds
כפר גלעדי,593,30,Kfar Giladi,Immediately
שפיים,1259,27,Shefayim,One and a half minutes
אזור תעשייה ציפורית,1363,34,Industrial area Tziporit,One minute
תושיה,1336,26,Kfar Maimon and Tushia,15 Seconds
זיתן,415,12,Zeitan,One and a half minutes
עין יהב,1000,29,Ein Yahav,One and a half minutes
מגדל עוז,705,17,Migdal Oz,One and a half minutes
נתיב השיירה,933,6,Netiv HaShayara,30 Seconds
גת,357,22,Gat,45 Seconds
מעונה,774,30,Maona,Immediately
בן שמן,236,12,Ben Shemen,One and a half minutes
עין עירון,1006,15,Ein Iron,One and a half minutes
תלמי יחיאל,1293,22,Talmei Yehiel,45 Seconds
ג'ת,278,13,Jatt,One and a half minutes
כפר מונש,626,27,Kfar Monash,One and a half minutes
שניר,1250,30,Snir,Immediately
בית זרע,193,7,Beit Zera,One minute
מעוז חיים,771,4,Maoz Haim,One minute
חג'אג'רה,428,34,Hajajre,One minute
נווה,854,26,Naveh,30 Seconds
דביר,360,25,Dvir,45 Seconds
חרוצים,471,27,Harutzim,One and a half minutes
בית ספר אורט בנימינה,216,15,Ort Binyamina,One and a half minutes
מלונות ים המלח מרכז,751,18,Dead Sea Hotels - Center,One and a half minutes
עולש,965,27,Olesh,One and a half minutes
רינתיה,1164,21,Rinatya,One and a half minutes
יד בנימין,502,22,Yad Binyamin,One minute
רוחמה,1151,16,Rochama,30 Seconds
ריינה,1162,34,Reineh,One minute
אדרת,22,24,Aderet,One and a half minutes
גבעת יערים,301,24,Givat Yearim,One and a half minutes
כפר מצר,628,34,Kfar Meissar,One minute
יובלים,511,23,Yuvalim,One minute
מנוחה,753,22,Menucha,45 Seconds
ניר יצחק,905,26,Nir Itzhak,15 Seconds
בית ירח,25,7,Beit Yerach,One minute
החותרים,390,15,HaHotrim,One minute
מרעית,556,9,Mara'it,One and a half minutes
בית הערבה,189,18,Beit HaArava,One and a half minutes
כפר יעבץ,623,27,Kfar Yavetz,One and a half minutes
דליה,373,13,Dalia,One and a half minutes
דלית אל כרמל,374,14,Daliyat al-Karmel,One minute
ירחיב,543,27,Yafhiv,One and a half minutes
רעים,1184,26,Reim,15 Seconds
אחיעזר,86,12,Achiezer,One and a half minutes
אלומה,102,22,Aluma,45 Seconds
כברי,554,30,Cabri,Immediately
בית יוסף,203,4,Beit Yossef,One minute
אזור תעשייה תימורים,77,22,Timorimg Industrial Zone,45 Seconds
חמרה,458,3,Hamra,One and a half minutes
מצובה,795,30,Metzuba,Immediately
משכיות,823,3,Maskiot,One and a half minutes
נצרת,926,34,Nazareth,One minute
רקפת,1186,23,Rakefet,One minute
קריית ים,1122,11,Kiryat Yam,One minute
אביעזר,10,24,Aviezer,One and a half minutes
כפר חסידים ב',1343,11,Kfar Hassidim,One minute
שעל,1252,2,Sha'al,15 Seconds
אלמגור,120,5,Almagor,30 Seconds
גני טל,345,22,Ganei Tal,One minute
ביריה,174,6,Biriyeh,30 Seconds
שחרות,1234,29,Shachrut,One and a half minutes
מוצא עילית,727,20,Motza Illit,One and a half minutes
דולב,365,10,Dolev,One and a half minutes
כפר טרומן,617,21,Kfar Truman,One and a half minutes
איבטין,87,11,Ibtin,One minute
באר גנים,158,19,Be'er Ganim,30 Seconds
ישעי,549,24,Yish'i,One and a half minutes
רשפים,1188,4,Reshafim,One minute
אום אל קוטוף,28,13,Umm al-Qutuf,One and a half minutes
לביא,671,7,Lavi,One minute
שדה נחמיה,1210,30,Sdeh Nechemia,Immediately
אור הגנוז,31,6,Or HaGanuz,30 Seconds
בת שלמה,271,14,Bat Shlomo,One minute
קריית מלאכי,1125,22,Kiryat Malachi,45 Seconds
מצפה אבי''ב,799,23,Mitzpeh Aviv,One minute
אלקנה,126,27,Elkana,One and a half minutes
הוד השרון,385,27,Hod HaSharon,One and a half minutes
נצרת עילית (נוף הגליל),927,34,Nazareth Illit,One minute
חגור,429,27,Hagor,One and a half minutes
עין גב,984,5,Ein Gev,15 Seconds
מעיליא,777,30,Mi'ilya,Immediately
ראשון לציון,6025,12,Rishon LeZion - West,One and a half minutes
אום אל פחם,27,13,Umm al-Fahm,One and a half minutes
טפחות,495,23,Tefahot,One minute
ניצן,896,19,Nitzan,45 Seconds
בענה,250,6,Bi'ina,30 Seconds
גבעת ישעיהו,302,24,Givat Ishayahu,One minute
פסוטה,1063,30,Fassuta,Immediately
רבבה,1142,10,Revava,One and a half minutes
עמיעד,1025,6,Amiad,30 Seconds
תלמי אליהו,1289,26,Talmei Eliyahu,15 Seconds
נען,922,12,Na'an,One and a half minutes
מחניים,736,6,Machanaim,30 Seconds
זרחיה,423,22,Zrahia,45 Seconds
צפרירים,1091,24,Tzafririm,One minute
נופך,875,21,Nofech,One and a half minutes
כפר סבא,638,27,Kfar Saba,One and a half minutes
סוסיא,941,17,Susya,One and a half minutes
פצאל,1065,3,Petza'el,One and a half minutes
קריית מוצקין,1124,11,Kiryat Motzkin,One minute
ברוש,259,16,Brosh,30 Seconds
תובל,1273,6,Tuval,30 Seconds
אלומות,103,7,Alumot,One minute
אביחיל,9,27,Avihail,One and a half minutes
תנובות,1297,27,Tnuvot,One and a half minutes
גן השומרון,334,15,Gan HaShomron,One and a half minutes
סולם,940,34,Sulam,One minute
מעלה חבר,783,17,Ma'ale Hever,One and a half minutes
דברת,361,34,Dovrat,One minute
תל קציר,1285,5,Tel Katzir,30 Seconds
נין,895,34,Nin,One minute
נופית,874,34,Nofit,One minute
גבת,312,34,Gvat,One minute
מרחב עם,809,9,Merhav Am,One and a half minutes
אחוזת ברק,81,34,Ahuzat Barak,One minute
באר שבע,6004,25,Beer Sheva - North,One minute
כנף,574,5,Kanaf,15 Seconds
תל חי,1279,30,Tel Hai,Immediately
אום אל-גנם,26,34,Umm al-Ghanam,One minute
רמות השבים,1168,27,Ramot HaShavim,One and a half minutes
כפר נטר,636,27,Kfar Netter,One and a half minutes
כפר האורנים,596,21,Kfar HaOranim,One and a half minutes
עין יעקב,1001,30,Ein Yacov,15 Seconds
בית הגדי,185,16,Beit HaGdi,30 Seconds
חולית,440,26,Holit,15 Seconds
בית רימון,226,23,Beit Rimon,One minute
בת הדר,267,19,Bat Hadar,30 Seconds
עץ אפרים,1034,27,Etz Ephraim,One and a half minutes
אביטל,1323,34,Yael Settlements,One minute
להבות חביבה,675,15,Lehavot Haviva,One and a half minutes
עמיחי,1347,10,Amihai,One and a half minutes
ביצרון,171,22,Bitzaron,One minute
דבורה,1327,34,Hever Settlements,One minute
ארבל,138,7,Arbel,One minute
חולדה,438,12,Hulda,One and a half minutes
נווה זוהר,860,18,Neveh Zohar,One and a half minutes
נבי סמואל,846,20,Nebi Samuel,One and a half minutes
גני עם,347,27,Ganei Am,One and a half minutes
אזור תעשייה שחורת,74,1,Shchoret Industrial Zone,30 Seconds
מודיעין - ישפרו סנטר,717,21,Modi'in - Ishpro Center,One and a half minutes
נווה ימין,864,27,Neveh Yamin,One and a half minutes
רמת השופט,1176,13,Ramat HaShofet,One and a half minutes
הר עמשא,404,17,Har Amsha,One and a half minutes
רטורנו - גבעת שמש,1159,24,Retorno - Givat Shesh,One and a half minutes
שלפים,1245,4,Shlafim,One minute
שריד,1267,34,Sarid,One minute
ערב אל עראמשה,1038,30,Arab al-Aramshe,Immediately
טנא עומרים,494,17,Teneh Omarim,One and a half minutes
כפר ביל''ו,585,12,Kfar Bilu,One and a half minutes
דלתון,375,30,Dalton,Immediately
נורדיה,877,27,Nordia,One and a half minutes
גבעת וושינגטון,295,22,Givat Washington,One minute
מירב,744,4,Merav,One minute
עין הנצי''ב,991,4,Ein HaNatziv,One minute
ראס עלי,1137,34,Ras Ali,One minute
דישון,372,30,Dishon,Immediately
בית חזון,196,27,Beit Hazon,One and a half minutes
חספין,463,5,Haspin,Immediately
תמרת,1296,34,Timrat,One minute
מטולה,738,30,Metulla,Immediately
חורשים,448,27,Horashim,One and a half minutes
חרשה,475,10,Horasha,One and a half minutes
טל מנשה,488,10,Tal Menashe,One and a half minutes
תל ערד,1377,9,Tel Arad,One and a half minutes
כפר ברוך,589,34,Kfar Baruch,One minute
חיפה,6014,15,Haifa - Kiryat Haim and Shmuel,One minute
עין תמר,1012,18,Ein Tamar,One and a half minutes
חוות ערנדל,435,29,Ardanel Ranch,One and a half minutes
שומריה,1226,17,Shomria,One minute
כפר הנשיא,601,6,Kfar HaNassi,30 Seconds
שדה יואב,1205,22,Sdeh Yoav,30 Seconds
אזור תעשייה שער בנימין,75,10,Sha'ar Binyamin Industrial Zone,One and a half minutes
יסודות,524,12,Yesodot,One and a half minutes
אלון מורה,106,10,Elon Moreh,One and a half minutes
כפר רופין,648,4,Kfar Ruppin,One minute
צרופה,1093,14,Tzrufa,One minute
גינתון,326,12,Ginaton,One and a half minutes
קליה,1111,18,Kalia,One and a half minutes
עזר,971,22,Ezer,45 Seconds
עתלית,1044,14,Atlit,One minute
הר-חלוץ,398,6,Har Chalutz,30 Seconds
טל-אל,487,6,Tal-El,30 Seconds
בית עזרא,220,22,Beit Ezra,45 Seconds
כיסרא סמיע,567,6,Kisra-Sumei,30 Seconds
אלעד,122,21,Elad,One and a half minutes
מקווה ישראל,806,8,Mikveh Israel,One and a half minutes
מגדל תפן,706,6,Migdal Tefen,30 Seconds
כפר שמריהו,652,8,Kfar Shmaryahu,One and a half minutes
לקיה,687,25,Lakiya,One minute
צופר,1079,29,Tzofar,One and a half minutes
נאות חובב,1345,25,Neot Hovav,One minute
אלוני הבשן,109,5,Alonei HaBashan,Immediately
עצמון - שגב,1035,23,Atzmon (Segev),One minute
כרמי צור,663,17,Karmei Tzur,One and a half minutes
מתתיהו,839,21,Matityahu,One and a half minutes
אלוני אבא,108,34,Alonei Abba,One minute
רביד,1145,7,Ravid,One minute
נוב,852,5,Nov,Immediately
עשרת,1043,22,Asseret,One minute
אבני חפץ,17,10,Avnei Hefetz,One and a half minutes
אבני איתן,16,5,Avnei Eitan,Immediately
ברור חיל,258,16,Bror Hayil,30 Seconds
מסלול,764,16,Maslul,30 Seconds
גנות,342,12,Ganot,One and a half minutes
פוריידיס,1055,14,Fureidis,One minute
,,,,
ריחן,1161,10,Reihan,One and a half minutes
מצפה יריחו,801,17,Mitzpeh Yericho,One and a half minutes
קריית ענבים,1127,24,Kiryat Anavim,One and a half minutes
אל רום,101,2,El Rom,Immediately
אייל,88,27,Eyal,One and a half minutes
תלמי ביל''ו,1291,16,Talmei Bilu,30 Seconds
בית חרות,200,27,Beit Herut,One and a half minutes
פוריה נווה עובד,1053,7,Poria - Neve Oved,One minute
סעייה-מולדה,720,9,Mulada - Sa'wa,One and a half minutes
נווה אטי''ב,856,2,Neveh Ativ,Immediately
סלמה,944,23,Salama,One minute
קרית אתא,1130,11,Kiryat Atta,One minute
עתניאל,1045,17,Otniel,One and a half minutes
עמוקה,1023,6,Amuka,30 Seconds
שקד,1263,10,Shaked,One and a half minutes
כפר עציון,643,17,Kfar Etzion,One and a half minutes
שמעה,1247,17,Shim'a,One and a half minutes
ניר עם,909,26,Sderot,15 Seconds
שתולה,1269,30,Shtula,Immediately
קדרון,1102,22,Kidron,One minute
סביון,937,8,Savyon,One and a half minutes
יבנאל,498,7,Yavne'el,One minute
ערד,1039,9,Arad,One and a half minutes
אשלים,151,9,Ashalim,One and a half minutes
בית עריף,222,21,Beit Arif,One and a half minutes
שלוחות,1242,4,Shluchot,One minute
בורגתה,168,27,Burgata,One and a half minutes
תל ציון,1284,10,Tel Zion,One and a half minutes
עין הבשור,987,26,Ein HaBsor,15 Seconds
עפרה,1033,10,Ofra,One and a half minutes
רמלה,1172,12,Ramla,One and a half minutes
אזור תעשייה עידן הנגב,63,25,Idan HaNegev Industrial Zone,45 Seconds
חוות גלעד,1366,10,Khavat Gil'ad,One and a half minutes
ספסופה - כפר חושן,953,6,Safsufa (Kfar Hoshen),30 Seconds
סואעד חמירה,939,34,Sawad Humeria,One minute
תחנת רכבת ראש העין,1351,27,Rosh HaAyin train station,One and a half minutes
נאות הכיכר,841,18,Neot HaKikar,One and a half minutes
אליקים,117,13,Elyakim,One and a half minutes
חבצלת השרון,426,27,Havatzelet HaSharon and Tzukei Yam,One and a half minutes
חצור הגלילית,468,6,Hatzor HaGlilit,30 Seconds
בית ניר,210,24,Beit Nir,One minute
מעגן מיכאל,770,15,Ma'agan Michael,One and a half minutes
אל פורעה,380,9,El Pura\r,One and a half minutes
בית מאיר,208,24,Beit Meir,One and a half minutes
עין השלושה,994,26,Ein HaShlosha,15 Seconds
פטיש,1057,16,Patish,30 Seconds
כסלון,576,24,Ksalon,One and a half minutes
דמיידה,376,23,Dmeide,One minute
יהוד-מונוסון,508,8,Yehud-Monosson,One and a half minutes
כפר הרא''ה,603,27,Kfar HaRoeh,One and a half minutes
גני תקווה,348,8,Ganei Tikva,One and a half minutes
רם און,1166,34,Ram On,One minute
